model_name,accuracy,auc,precision,recall,f1,mcc
xgboost,0.8725560446309756,0.9271509751706001,0.7942918686052773,0.6308810949529512,0.7032181168057211,0.6301317535422856
random_forest,0.8643668748080663,0.9162842778598752,0.79533527696793,0.583404619332763,0.6730816679003208,0.601326813179927
logistic_regression,0.8523902139420616,0.9042148127759706,0.7413793103448276,0.5885372112917023,0.6561754887935145,0.5698628048298242
knn,0.8383662606203296,0.8698969210779663,0.6827154549831488,0.6065012831479898,0.6423556058890147,0.5399900521054835
decision_tree,0.8168696898351929,0.7490299693593953,0.6170575692963752,0.6189050470487596,0.6179799273969677,0.49755041148175233
naive_bayes,0.6204319787081585,0.8286949660284945,0.3793589292004227,0.9213002566295979,0.5374251497005988,0.3866425414549744
